product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,screen_area_m2,price_date
60903,11058,55.0,,6579457,299.99,bestbuy,,,,299.99,319.99,299.99,461.5230769230769,0.65,2026-03-02
60903,11059,65.0,,6579449,399.99,bestbuy,,,,399.99,429.99,399.99,439.54945054945057,0.91,2026-03-02
60903,11060,75.0,,6579448,529.99,bestbuy,,,,529.99,749.99,529.99,438.00826446280996,1.21,2026-03-02
60903,11061,85.0,,6579443,849.99,bestbuy,,,,849.99,1199.99,849.99,544.8653846153846,1.56,2026-03-02
60903,11062,98.0,,6579447,1297.99,bestbuy,,,,1297.99,2999.99,1297.99,627.048309178744,2.07,2026-03-02
49718,11136,65.0,,,4499.99,rtings,,,,,,4499.99,4945.043956043955,0.91,2026-03-02
49718,11137,75.0,B0CVSJC57H,6576361,2749.99,bestbuy,,,,2749.99,4999.99,2749.99,2272.719008264463,1.21,2026-03-02
49718,11138,85.0,B0CVSGYHYM,,6999.99,rtings,,,,,,6999.99,4487.173076923076,1.56,2026-03-02
60900,11194,43.0,B0CZMNK3Z7,,,,,,,,,,,0.4,2026-03-02
60900,11195,50.0,B0CZMC7Q99,,,,,,,,,,,0.54,2026-03-02
60900,11196,55.0,,6579460,249.99,bestbuy,,,,249.99,279.99,249.99,384.6,0.65,2026-03-02
60900,11197,65.0,,6579444,369.99,bestbuy,,,,369.99,379.99,369.99,406.5824175824176,0.91,2026-03-02
60900,11198,75.0,,6579463,479.99,bestbuy,,,,479.99,649.99,479.99,396.68595041322317,1.21,2026-03-02
60900,11199,85.0,B0CZLZPQV8,,,,,,,,,,,1.56,2026-03-02
57180,11255,43.0,B0CY18SS15,,269.99,rtings,,,,,,269.99,674.975,0.4,2026-03-02
57180,11256,50.0,,,427.95,rtings,,,,,,427.95,792.4999999999999,0.54,2026-03-02
57180,11257,55.0,B0CXZVSNRN,,379.99,rtings,,,,,,379.99,584.6,0.65,2026-03-02
57180,11258,60.0,,,459.99,rtings,,,,,,459.99,597.3896103896104,0.77,2026-03-02
57180,11259,65.0,,,469.99,rtings,,,,,,469.99,516.4725274725274,0.91,2026-03-02
57180,11260,70.0,,6575142,560.99,bestbuy,,,,560.99,589.99,560.99,529.2358490566038,1.06,2026-03-02
57180,11261,75.0,,,669.99,rtings,,,,,,669.99,553.7107438016529,1.21,2026-03-02
57180,11262,85.0,B0CY1BNH61,,1099.99,rtings,,,,,,1099.99,705.1217948717948,1.56,2026-03-02
63953,11436,55.0,B0D2PNH494,6579198,680.0,amazon_3p,693.99,,693.99,693.99,999.99,693.99,1046.1538461538462,0.65,2026-03-02
63953,11437,65.0,B0D2PNVJFT,,897.99,amazon,897.99,,897.99,,,897.99,986.8021978021977,0.91,2026-03-02
63953,13291,75.0,B0F363GQZF,,1300.99,amazon,1300.99,,1300.99,,,1300.99,1075.1983471074382,1.21,2026-03-02
63953,13292,85.0,B0F35W3T1C,,1897.99,amazon,1897.99,,1897.99,,,1897.99,1216.6602564102564,1.56,2026-03-02
63102,11526,65.0,B0D5Y36ZKL,,,,,,673.99,,,673.99,,0.91,2026-03-02
63102,11527,75.0,B0D5Y5YCM1,,,,,,,,,,,1.21,2026-03-02
63102,11528,85.0,B0D5Y5F1ZZ,6579195,798.99,bestbuy,,,,798.99,849.99,798.99,512.1730769230769,1.56,2026-03-02
63102,11529,100.0,B0DD2185NL,,,,2429.53,,2429.53,,,2429.53,,2.15,2026-03-02
74025,11575,55.0,B0D8SDKSWT,,,,,,549.99,,,549.99,,0.65,2026-03-02
74025,11576,65.0,B0D8RYJYB8,,,,,,,,,,,0.91,2026-03-02
74025,11577,75.0,B0D8S12Q54,,,,,,,,,,,1.21,2026-03-02
74025,11578,85.0,B0D8S8SR5R,,,,,,,,,,,1.56,2026-03-02
74026,11579,,,,,,,,,,,,,,2026-03-02
74026,11580,65.0,B0D8S669CY,,,,,,1147.99,,,1147.99,,0.91,2026-03-02
74024,11650,65.0,B0D8S2D1CZ,,1581.85,amazon_3p,1597.99,,1581.85,,,1581.85,1738.296703296703,0.91,2026-03-02
70375,11689,55.0,,6590118,698.99,rtings,,,,,,698.99,1075.3692307692309,0.65,2026-03-02
70375,11690,65.0,,6590123,999.99,rtings,,,,,,999.99,1098.89010989011,0.91,2026-03-02
70375,11691,75.0,B0DCWTT39N,6590119,1699.99,rtings,,,,,,1699.99,1404.9504132231405,1.21,2026-03-02
70375,11692,85.0,,6590120,1997.99,rtings,,,,,,1997.99,1280.7628205128206,1.56,2026-03-02
57722,12034,65.0,,,,,,,,,,,,0.91,2026-03-02
57722,12035,75.0,,,,,,,,,,,,1.21,2026-03-02
57722,12036,85.0,,,,,,,,,,,,1.56,2026-03-02
59962,12091,75.0,,6594932,2549.99,rtings,,,,,,2549.99,2107.4297520661157,1.21,2026-03-02
59962,12092,85.0,B0D2PMNRBW,,2730.9,rtings,,,,,,2730.9,1750.576923076923,1.56,2026-03-02
82692,12183,55.0,B0C7SRHGXF,,719.99,amazon,719.99,,719.99,,,719.99,1107.676923076923,0.65,2026-03-02
82692,12184,65.0,B0C1TQYNWX,,1089.99,amazon,1089.99,,1089.99,,,1089.99,1197.7912087912089,0.91,2026-03-02
82692,12185,75.0,B0C7SH9FN2,,1399.99,amazon,1399.99,,1399.99,,,1399.99,1157.01652892562,1.21,2026-03-02
82692,12186,85.0,B0C7S8Z4C1,,2099.99,amazon,2099.99,,2099.99,,,2099.99,1346.1474358974358,1.56,2026-03-02
88607,12324,,B0F2JLGW8H,6617496,529.99,rtings,,,,,,529.99,,,2026-03-02
88607,12325,65.0,,6617498,529.99,rtings,,,,,,529.99,582.4065934065934,0.91,2026-03-02
88607,12326,75.0,,6617497,849.99,rtings,,,,,,849.99,702.4710743801653,1.21,2026-03-02
88607,12327,85.0,B0F2JLYVDD,6617500,1099.99,rtings,,,,,,1099.99,705.1217948717948,1.56,2026-03-02
88607,12328,98.0,,6617499,1799.99,rtings,,,,,,1799.99,869.5603864734301,2.07,2026-03-02
94324,12377,43.0,B0DWHFN3WK,6619443,349.99,rtings,,,,,,349.99,874.975,0.4,2026-03-02
94324,12378,50.0,B0DWHFN3WK,6619441,379.99,rtings,,,,,,379.99,703.6851851851851,0.54,2026-03-02
94324,12379,55.0,B0DWHYR9TH,6619375,399.99,rtings,,,,,,399.99,615.3692307692307,0.65,2026-03-02
94324,12380,65.0,B0DWHVTWBW,6619254,469.99,rtings,,,,,,469.99,516.4725274725274,0.91,2026-03-02
94324,12381,75.0,B0DXMT5L8D,,677.99,amazon_3p,697.99,,697.99,,,697.99,560.3223140495868,1.21,2026-03-02
94324,12382,85.0,B0DZ249RM1,,999.99,amazon,999.99,,999.99,,,999.99,641.0192307692307,1.56,2026-03-02
94324,15581,98.0,B0FJ2KQ8FJ,,2097.99,amazon_3p,2497.99,,2497.99,,,2497.99,1013.5217391304348,2.07,2026-03-02
88608,12386,55.0,,6621468,698.99,rtings,,,,,,698.99,1075.3692307692309,0.65,2026-03-02
88608,12387,65.0,,6621470,998.99,rtings,,,,,,998.99,1097.7912087912089,0.91,2026-03-02
88608,12388,75.0,,6621474,1298.99,rtings,,,,,,1298.99,1073.5454545454545,1.21,2026-03-02
88608,12389,85.0,,6621467,1799.99,rtings,,,,,,1799.99,1153.8397435897436,1.56,2026-03-02
88608,12390,98.0,,6621472,2799.99,rtings,,,,,,2799.99,1352.6521739130435,2.07,2026-03-02
88601,12391,55.0,B0F8DSGCCD,6621832,1999.99,rtings,,,,,,1999.99,3076.9076923076923,0.65,2026-03-02
88601,12392,65.0,B0F7J16S9S,6621810,2499.99,rtings,,,,,,2499.99,2747.241758241758,0.91,2026-03-02
88601,12393,77.0,,6621819,3499.99,rtings,,,,,,3499.99,2734.3671874999995,1.28,2026-03-02
88601,12394,83.0,,6621830,5299.99,rtings,,,,,,5299.99,3557.0402684563755,1.49,2026-03-02
88601,12395,,,6621820,19999.99,rtings,,,,,,19999.99,,,2026-03-02
88602,12396,42.0,,6621833,899.99,rtings,,,,,,899.99,2368.3947368421054,0.38,2026-03-02
88602,12397,55.0,B0F8DWB273,6621828,1099.99,rtings,,,,,,1099.99,1692.2923076923078,0.65,2026-03-02
88602,12398,65.0,B0F7J14C5Q,6621824,1399.99,rtings,,,,,,1399.99,1538.4505494505495,0.91,2026-03-02
88602,12399,77.0,B0F8DW8D69,6621825,2299.99,rtings,,,,,,2299.99,1796.8671874999998,1.28,2026-03-02
88602,13347,48.0,,6621817,999.99,rtings,,,,,,999.99,1999.98,0.5,2026-03-02
88602,13348,83.0,,6621822,2999.99,rtings,,,,,,2999.99,2013.4161073825503,1.49,2026-03-02
92241,12550,43.0,,6613498,799.99,rtings,,,,,,799.99,1999.975,0.4,2026-03-02
92241,12551,50.0,,6613504,1099.99,rtings,,,,,,1099.99,2037.0185185185185,0.54,2026-03-02
92241,12552,55.0,,6613494,1299.99,rtings,,,,,,1299.99,1999.9846153846154,0.65,2026-03-02
92241,12553,65.0,B0DXMYSQJC,,1399.99,amazon,1399.99,,1399.99,,,1399.99,1538.4505494505495,0.91,2026-03-02
92241,12554,75.0,,,2999.99,rtings,,,,,,2999.99,2479.3305785123966,1.21,2026-03-02
92241,12555,85.0,,,4499.99,rtings,,,,,,4499.99,2884.608974358974,1.56,2026-03-02
92241,12556,98.0,,,14999.99,rtings,,,,,,14999.99,7246.371980676329,2.07,2026-03-02
92236,12557,55.0,,6614344,999.99,rtings,,,,,,999.99,1538.4461538461537,0.65,2026-03-02
92236,12558,65.0,B0DXMZRG1Q,,999.99,amazon_3p,1197.99,,1197.99,,,1197.99,1098.89010989011,0.91,2026-03-02
92236,12559,77.0,,6613452,1599.99,rtings,,,,,,1599.99,1249.9921875,1.28,2026-03-02
92236,12560,83.0,,6613457,2299.99,rtings,,,,,,2299.99,1543.6174496644294,1.49,2026-03-02
88596,13278,55.0,,6613500,1999.99,rtings,,,,,,1999.99,3076.9076923076923,0.65,2026-03-02
88596,13279,65.0,,6613492,2499.99,rtings,,,,,,2499.99,2747.241758241758,0.91,2026-03-02
88596,13282,77.0,B0DXN1BYQM,,3397.99,amazon_3p,3497.99,,3497.99,,,3497.99,2654.6796875,1.28,2026-03-02
88596,13283,83.0,,,6499.99,rtings,,,,,,6499.99,4362.4093959731545,1.49,2026-03-02
96125,13284,55.0,,6620383,799.99,rtings,,,,,,799.99,1230.753846153846,0.65,2026-03-02
96125,13285,65.0,B0F5QVK3TR,6621215,999.99,rtings,,,,,,999.99,1098.89010989011,0.91,2026-03-02
96125,13286,75.0,,6621214,1399.99,rtings,,,,,,1399.99,1157.01652892562,1.21,2026-03-02
96125,13287,85.0,,6621197,1799.99,rtings,,,,,,1799.99,1153.8397435897436,1.56,2026-03-02
96125,13288,100.0,B0F5QQH44H,6621198,2999.99,rtings,,,,,,2999.99,1395.3441860465116,2.15,2026-03-02
92237,13317,42.0,,6613495,899.99,rtings,,,,,,899.99,2368.3947368421054,0.38,2026-03-02
92237,13318,48.0,B0DXN1BFQ4,,967.99,amazon_3p,997.99,,997.99,,,997.99,1935.98,0.5,2026-03-02
92237,13319,55.0,B0DWTD3WF8,6613501,1099.99,rtings,,,,,,1099.99,1692.2923076923078,0.65,2026-03-02
92237,13320,65.0,,6613491,1399.99,rtings,,,,,,1399.99,1538.4505494505495,0.91,2026-03-02
92237,13321,77.0,,6613462,1999.99,rtings,,,,,,1999.99,1562.4921875,1.28,2026-03-02
92237,13322,83.0,B0DXMSX56Y,,2897.99,amazon_3p,2997.99,,2997.99,,,2997.99,1944.959731543624,1.49,2026-03-02
96104,13394,55.0,,6620386,579.99,rtings,,,,,,579.99,892.2923076923076,0.65,2026-03-02
96104,13395,65.0,,6621204,799.99,rtings,,,,,,799.99,879.1098901098901,0.91,2026-03-02
